Season,Id,Name,Position,Team,Conference,CountablePlays,AveragePPA All,AveragePPA Pass,AveragePPA Rush,AveragePPA FirstDown,AveragePPA SecondDown,AveragePPA ThirdDown,AveragePPA StandardDowns,AveragePPA PassingDowns,TotalPPA All,TotalPPA Pass,TotalPPA Rush,TotalPPA FirstDown,TotalPPA SecondDown,TotalPPA ThirdDown,TotalPPA StandardDowns,TotalPPA PassingDowns
2014,3124349,Jacobi Owens,RB,Air Force,Mountain West,207,0.109,-0.49,0.136,-0.09,0.161,0.537,0.117,0.066,22.556,-4.411,26.967,-9.071,11.434,18.265,20.443,2.114
2014,508159,Kendall Houston,RB,South Alabama,Sun Belt,127,0.11,-0.082,0.116,-0.075,0.26,0.635,0.074,0.376,13.948,-0.329,14.277,-5.131,12.726,6.353,8.315,5.633
2014,3128843,Alex McGough,QB,Florida International,Conference USA,307,0.111,0.105,0.131,-0.159,0.1,0.333,-0.083,0.327,33.934,25.281,8.653,-16.406,9.925,33.65,-13.466,47.4
2014,536106,Jaylen Walton,RB,Ole Miss,SEC,119,0.111,0.525,0.022,0.144,-0.07,0.938,0.042,0.475,13.193,11.029,2.165,10.926,-2.389,7.504,4.171,9.022
2014,530449,Rushel Shell,RB,West Virginia,Big 12,193,0.114,0.346,0.081,-0.106,0.041,0.742,0.1,0.16,22,8.295,13.705,-9.615,2.868,20.033,14.954,7.046
2014,3125361,LaJuan Hunt,RB,Utah State,Mountain West,115,0.115,0.989,0.041,0.043,-0.026,0.581,0.093,0.196,13.215,8.903,4.312,2.58,-0.926,10.45,8.326,4.888
2014,501565,Pete Thomas,QB,Louisiana Monroe,Sun Belt,591,0.115,0.108,0.18,0.042,0.008,0.3,0.052,0.214,68.177,57.01,11.167,9.442,1.558,48.046,18.829,49.348
2014,552526,Keith Whitely,RB,UNLV,Mountain West,140,0.117,0.491,0.027,0.131,-0.092,0.362,0.103,0.162,16.374,13.267,3.107,8.011,-5.257,6.876,10.871,5.502
2014,534770,Austin Appleby,QB,Purdue,Big Ten,309,0.118,0.08,0.322,-0.126,0.172,0.375,-0.123,0.354,36.384,20.913,15.471,-12.205,19.255,31.917,-18.766,55.15
2014,3122866,Devontae Booker,RB,Utah,Pac-12,320,0.118,0.223,0.101,-0.007,0.155,0.331,0.103,0.168,37.657,10.016,27.641,-1.017,18.314,17.569,25.418,12.239
2014,3116136,Justin Jackson,RB,Northwestern,Big Ten,249,0.119,0.746,0.049,0.045,0.143,0.249,0.071,0.292,29.594,18.657,10.937,6.173,11.686,5.969,13.84,15.755
2014,515457,Josh Ferguson,RB,Illinois,Big Ten,198,0.12,0.337,0.024,0.178,-0.11,0.564,0.116,0.136,23.824,20.579,3.246,19.541,-6.953,13.533,17.724,6.1
2014,532976,Ikaika Woolsey,QB,Hawai'i,Mountain West,402,0.12,0.106,0.196,-0.043,0.187,0.13,0,0.258,48.046,36.477,11.569,-6.311,21.125,16.456,0.086,47.961
2014,514194,Akeem Hunt,RB,Purdue,Big Ten,234,0.12,0.049,0.148,-0.059,0.08,0.549,0.067,0.288,28.123,3.169,24.954,-7.014,6.115,19.765,11.975,16.149
2014,513571,Anthon Samuel,RB,Florida International,Conference USA,112,0.121,-0.407,0.126,-0.088,0.197,0.602,0.119,0.128,13.566,-0.407,13.973,-4.908,8.463,7.225,10.376,3.19
2014,531903,Conor Hundley,RB,Akron,Mid-American,113,0.123,0.047,0.136,0.072,0.131,0.332,0.11,0.142,13.892,0.795,13.097,3.099,6.398,6.64,7.498,6.394
2014,517264,Terron Ward,RB,Oregon State,Pac-12,172,0.125,-0.064,0.189,0.054,0.186,0.224,0.131,0.107,21.563,-2.754,24.317,4.433,12.285,4.703,17.081,4.482
