season,player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
2022,Logan Ryan,7864,S,TB,9,6,0,66.7,0,1,30,1,0,65.4,69.1,85.4,51.4,75.2,80.7,0,1,0,1,27,5.9,2,3,0,90.4,10,0,0,71,3,291,445,19,0,0,19,0,318,426,9,145,34,8,26,1,15,1,1,138,50,13.8
2022,Duron Harmon,7872,S,LV,17,16,1,84,0,2,23,0,0,77.6,72.3,87.5,53.8,59.8,66.6,0,2,1,2,55,12.6,12,2,0,70.2,21,0,0,237,14,635,1076,33,0,0,33,0,729,1043,23,418,63,11,67,0,25,2,0,221,121,10.5
2022,Brandon Williams,7875,DI,KC,5,1,0,,0,0,16,0,0,59.2,54.1,80,57.2,53.2,69.2,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,83,83,10,71,0,2,0,0,50,32,0,0,0,0,0,2,0,0,0,
2022,Akeem Spence,7882,DI,SF,7,5,0,,0,0,28,0,0,59.5,43.3,81.7,46.3,47.5,35.2,0,3,0,0,,18.2,2,0,0,0,0,0,0,0,0,1,147,147,5,120,0,22,0,0,76,70,0,3,4,0,0,3,0,0,0,
2022,William Gholston,7908,DI,TB,17,18,0,,0,0,30,1,0,66,57.6,71.6,58.6,54.2,66.9,4,6,0,0,,3.9,2,0,1,0,0,0,0,0,0,2,484,484,5,275,56,148,0,0,222,260,0,22,31,4,0,10,0,0,0,
2022,Oday Aboushi,7923,G,LA,1,0,0,,1,0,26,0,0,,60,60,,60,,0,0,0,0,,,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
2022,Steven Means,7929,ED,BLT,2,0,0,,0,0,3,0,0,60,75.7,75.6,65.1,73.2,72.4,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,29,29,0,0,28,1,0,0,18,10,0,0,1,0,0,1,0,0,0,
2022,A.J. Klein,7930,LB,BUF,4,3,0,100,0,0,4,0,0,47.1,47.7,77.8,60.7,54.2,49.7,0,1,0,0,22,20,3,0,0,101.9,9,0,0,97,0,52,104,4,0,0,4,0,0,100,7,45,3,6,9,2,9,1,0,76,72,8.4
2022,Micah Hyde,7941,S,BUF,2,2,0,100,0,0,4,0,0,69.1,68.4,81.7,59.1,52.5,63,0,0,0,0,19,12.5,1,0,0,102.8,3,0,0,18,1,70,101,1,0,0,1,0,68,100,1,30,13,2,5,0,3,0,0,26,8,8.7
2022,Jordan Poyer,8000,S,BUF,12,15,0,72.7,0,1,4,0,0,76.2,75.4,85.2,59.4,68.2,59.8,0,0,0,4,67,12.9,9,3,0,89.8,16,0,0,203,6,472,754,26,0,0,26,0,423,728,17,265,96,14,46,4,22,0,3,143,76,8.9
