Season,Id,Name,Position,Team,Conference,CountablePlays,AveragePPA All,AveragePPA Pass,AveragePPA Rush,AveragePPA FirstDown,AveragePPA SecondDown,AveragePPA ThirdDown,AveragePPA StandardDowns,AveragePPA PassingDowns,TotalPPA All,TotalPPA Pass,TotalPPA Rush,TotalPPA FirstDown,TotalPPA SecondDown,TotalPPA ThirdDown,TotalPPA StandardDowns,TotalPPA PassingDowns
2014,504866,Brandon Doughty,QB,Western Kentucky,Conference USA,586,0.463,0.473,0.216,0.402,0.307,0.817,0.403,0.556,271.115,265.932,5.183,93.579,63.863,116.081,144.809,126.306
2014,550507,Mario Alford,WR,West Virginia,Big 12,112,0.465,0.481,-0.398,0.377,0.357,0.668,0.376,0.593,52.07,52.866,-0.796,13.567,15.007,21.39,24.784,27.286
2014,546407,Jourdan Soares,WR,San José State,Mountain West,4,0.465,0.465,0,0.332,0.597,0,0.712,-0.277,1.858,1.858,0,0.665,1.194,0,2.136,-0.277
2014,512705,Connor Cook,QB,Michigan State,Big Ten,414,0.466,0.488,0.251,0.291,0.416,0.725,0.349,0.595,192.83,183.043,9.787,41.055,60.74,86.268,76.169,116.661
2014,503831,Michael Burton,FB,Rutgers,Big Ten,17,0.468,0.468,0,0.701,0.415,0,0.735,0.088,7.964,7.964,0,3.503,4.563,0,7.348,0.617
2014,500711,Eric Tomlinson,TE,UTEP,Conference USA,25,0.469,0.469,0,0.186,0.978,0.26,0.445,0.491,11.732,11.732,0,1.304,7.825,2.603,5.346,6.386
2014,3117251,Christian McCaffrey,RB,Stanford,Pac-12,59,0.469,0.898,0.295,0.261,0.507,0.668,0.445,0.522,27.65,15.272,12.378,7.047,10.149,7.352,18.253,9.396
2014,504517,Casey Pierce,TE,Kent State,Mid-American,89,0.47,0.483,-0.68,0.257,0.898,0.33,0.37,0.625,41.843,42.523,-0.68,10.536,19.753,8.252,19.976,21.867
2014,545696,Shannon Smith,WR,Middle Tennessee,Conference USA,11,0.471,0.471,0,0.424,1.33,-0.677,0.321,0.733,5.181,5.181,0,2.544,3.991,-1.354,2.249,2.932
2014,550567,Jerico Richardson,WR,Nevada,Mountain West,80,0.471,0.438,3.075,0.611,0.352,0.627,0.59,0.326,37.682,34.607,3.075,20.164,11.259,8.147,25.95,11.732
2014,512107,Sean McQuillan,TE,Connecticut,FBS Independents,19,0.471,0.471,0,0.382,0.597,0.641,0.478,0.463,8.948,8.948,0,1.91,3.582,3.847,4.776,4.171
2014,530877,Byron Marshall,WR,Oregon,Pac-12,154,0.472,0.583,0.254,0.447,0.323,1.119,0.387,0.699,72.672,59.438,13.234,33.957,14.844,31.327,43.312,29.36
2014,522058,Akil Dan-Fodio,TE,Florida International,Conference USA,10,0.473,0.473,0,-0.162,0.018,1.716,0.013,0.78,4.732,4.732,0,-0.487,0.07,5.149,0.05,4.681
2014,3125429,Randy Price,WR,Texas State,Sun Belt,12,0.473,0.401,0.525,0.702,0.153,0,0.478,0.421,5.682,2.006,3.675,4.917,0.765,0,5.261,0.421
2014,552734,Josh Knight,WR,Marshall,Sun Belt,3,0.474,0.474,0,0.186,1.051,0,0.186,1.051,1.423,1.423,0,0.371,1.051,0,0.371,1.051
2014,3116165,Chris Godwin,WR,Penn State,Big Ten,42,0.474,0.527,-0.596,0.244,0.19,0.955,0.371,0.559,19.897,21.09,-1.192,1.952,3.619,14.326,7.051,12.846
2014,530275,Max McCaffrey,WR,Duke,ACC,53,0.476,0.461,1.236,0.155,0.373,1.061,0.373,0.611,25.229,23.993,1.236,2.475,8.959,13.795,11.181,14.048
2014,536854,Jake Maulhardt,WR,Wyoming,Mountain West,33,0.476,0.476,0,0.263,0.775,0.532,0.325,0.657,15.697,15.697,0,3.939,6.974,4.785,5.844,9.853
2014,503330,Kevin Haplea,TE,Florida State,ACC,3,0.476,0.476,0,0.8,-0.279,0.906,0.8,0.313,1.427,1.427,0,0.8,-0.279,0.906,0.8,0.627
2014,535166,A.J. Williams,TE,Michigan,Big Ten,4,0.476,0.476,0,1.046,0.242,0.376,0.578,0.374,1.905,1.905,0,1.046,0.483,0.376,1.156,0.749
2014,504635,Dwight Macon,WR,Toledo,Mid-American,67,0.479,0.531,0.392,0.39,0.249,0.936,0.526,0.318,32.108,22.312,9.795,10.915,5.229,15.911,27.332,4.775
2014,516342,Jack Tabb,TE,North Carolina,ACC,42,0.479,0.479,0,-0.047,0.529,1.297,0.235,0.775,20.111,20.111,0,-0.805,7.942,12.974,5.394,14.717
