Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
150,Louisiana,33,19,14,0.576,-0.32,-2.38,10,8,11,3,5,9,2504,2365,1320,834,1856,0.449,163,590,0.276,534,741,0.721,363,1170,366,229,127,487,520
151,Louisiana State,32,17,15,0.531,8.64,6.99,9,9,12,5,3,7,2443,2390,1285,819,1922,0.426,264,795,0.332,488,644,0.758,368,1123,400,261,130,416,557
152,Louisiana Tech,32,22,10,0.688,5.06,-1.46,12,4,14,2,8,7,2392,2065,1290,716,1832,0.391,222,666,0.333,411,579,0.71,336,1051,326,222,95,406,589
153,Louisiana-Monroe,30,11,19,0.367,-9.73,-2.12,6,12,8,6,3,12,2096,2233,1205,747,1718,0.435,273,776,0.352,466,632,0.737,306,1047,439,208,112,368,549
154,Louisville,32,8,24,0.25,0.38,7.45,3,17,7,11,1,10,2304,2530,1285,894,1890,0.473,275,740,0.372,467,638,0.732,297,1109,494,242,123,366,608
155,Loyola (IL),32,23,9,0.719,7.07,2.4,15,3,15,2,7,4,2350,2154,1290,722,1807,0.4,224,653,0.343,486,662,0.734,288,1075,358,214,130,402,552
156,Loyola (MD),32,7,25,0.219,-15.94,-6.71,5,13,2,11,5,13,2049,2301,1295,831,1785,0.466,236,659,0.358,403,577,0.698,267,1049,431,234,118,331,536
157,Loyola Marymount,31,12,19,0.387,0.09,0.46,5,11,8,8,3,7,2244,2214,1240,814,1817,0.448,197,578,0.341,389,533,0.73,282,1009,417,179,110,264,483
158,Maine,32,15,17,0.469,-6.18,-4.67,7,9,8,4,5,13,2164,2159,1290,789,1794,0.44,187,589,0.317,394,575,0.685,296,1133,411,202,112,422,487
159,Manhattan,30,7,23,0.233,-15.06,-4.65,4,16,3,10,4,12,1985,2275,1215,847,1827,0.464,227,617,0.368,354,482,0.734,313,1139,509,243,122,356,413
160,Marist,31,18,13,0.581,-5.38,-7.83,12,8,9,4,8,8,2004,1928,1240,670,1633,0.41,199,626,0.318,389,572,0.68,284,1029,294,209,79,417,477
161,Marquette,34,25,9,0.735,19.58,10.99,14,6,14,2,7,5,2662,2370,1365,834,1965,0.424,284,846,0.336,418,555,0.753,363,1210,494,192,104,500,498
162,Marshall,33,13,20,0.394,-5.12,-1.09,7,11,8,7,3,9,2435,2531,1320,922,2060,0.448,258,718,0.359,429,608,0.706,349,1290,444,247,87,391,534
163,Maryland,33,16,17,0.485,10.86,7.71,7,13,11,6,4,8,2278,2174,1335,763,1825,0.418,180,549,0.328,468,611,0.766,328,1147,366,193,119,416,626
164,Maryland-Baltimore County,32,11,21,0.344,-8.49,-5.75,6,10,6,9,5,12,2517,2583,1285,948,2131,0.445,242,769,0.315,445,609,0.731,385,1260,431,259,98,364,503
165,Maryland-Eastern Shore,29,9,20,0.31,-17.23,-6.23,4,10,9,4,0,15,1890,2046,1175,722,1650,0.438,192,585,0.328,410,602,0.681,322,1079,356,211,86,395,473
166,Massachusetts,31,20,11,0.645,7.82,1.11,11,7,13,3,4,6,2401,2193,1245,739,1755,0.421,226,674,0.335,489,678,0.721,333,1053,407,193,103,407,567
167,Massachusetts-Lowell,32,22,10,0.688,-1.11,-5.9,11,5,12,3,10,7,2561,2261,1290,851,2055,0.414,201,701,0.287,358,518,0.691,332,1064,363,254,118,378,600
168,McNeese State,33,30,3,0.909,7.16,-7.26,17,1,18,0,11,3,2654,2030,1320,681,1769,0.385,269,858,0.314,399,562,0.71,351,1075,398,153,106,543,594
169,Memphis,32,22,10,0.688,9.24,4.49,11,7,13,2,7,6,2576,2424,1290,855,2001,0.427,290,854,0.34,424,593,0.715,406,1169,456,230,138,443,591
170,Mercer,33,16,17,0.485,-4.5,-2.4,8,10,10,6,4,9,2348,2371,1320,814,1827,0.446,223,662,0.337,520,719,0.723,344,1155,366,210,100,403,501
171,Merrimack,33,21,12,0.636,-5.11,-8.31,13,3,13,2,7,9,2283,2159,1330,782,1873,0.418,186,592,0.314,409,583,0.702,406,1252,441,229,103,536,553
172,Miami (FL),32,15,17,0.469,9.54,7.42,6,14,11,6,2,9,2424,2356,1285,866,1998,0.433,306,920,0.333,318,446,0.713,341,1144,497,230,110,373,479
173,Miami (OH),32,15,17,0.469,-6.2,-3.84,9,9,9,6,6,10,2259,2241,1285,800,1870,0.428,213,683,0.312,428,589,0.727,339,1168,378,206,107,399,559
174,Michigan,32,8,24,0.25,5.59,11.66,3,17,5,10,2,10,2334,2528,1295,926,1988,0.466,234,649,0.361,442,606,0.729,347,1117,430,245,123,306,541
175,Michigan State,33,19,14,0.576,17.9,10.72,10,10,14,4,3,7,2413,2176,1325,752,1824,0.412,247,753,0.328,425,595,0.714,326,1115,413,172,104,412,563
